55.23,95.29,74.25
32.85,62.29,26.59
93.18,82.05,74.66
50.89,29.14,40.90
29.18,59.77,80.35
55.03,34.00,62.01
41.72,63.95,49.27
89.79,31.24,53.83
13.60,72.00,39.31
26.93,94.46,8.70
9.08,42.83,42.70
56.07,73.56,24.91
21.04,53.08,55.67
50.77,80.26,74.80
63.34,2.10,89.99
60.43,82.36,64.70
57.69,9.68,43.52
49.46,13.23,96.94
45.94,7.48,85.85
39.03,87.82,9.70
6.76,62.44,85.01
84.11,62.75,66.62
88.76,72.99,30.32
61.08,20.05,24.37
21.72,2.81,97.18
12.56,50.87,84.14
21.37,31.57,11.00
50.96,67.98,80.04
34.01,50.94,16.60
34.43,2.98,77.60
61.03,71.21,75.24
90.76,87.30,2.24
59.56,40.50,90.36
27.48,18.59,82.35
70.08,49.00,14.47
8.64,27.13,24.33
14.05,66.23,67.09
67.12,37.28,15.68
85.90,86.56,24.84
2.03,31.86,41.85
3.68,13.58,72.37
7.93,82.46,40.54
85.88,44.50,76.15
19.28,50.45,65.65
42.98,30.17,78.34
16.25,73.02,77.69
62.37,80.86,98.11
71.06,93.96,72.97
79.80,84.48,25.23
42.92,52.04,93.91
74.82,7.43,28.97
32.18,61.15,95.18
52.86,29.42,13.59
55.74,58.74,79.82
58.02,80.66,47.35
79.91,22.61,69.98
20.62,69.08,54.34
58.70,4.28,35.29
3.72,5.45,94.57
15.47,96.78,60.53
6.45,65.74,54.77
2.66,40.14,59.30
25.48,49.38,29.39
2.63,1.19,52.35
81.99,68.34,63.05
85.45,41.07,84.45
30.09,48.08,17.57
99.28,38.96,28.03
92.27,31.00,72.82
65.97,89.86,78.64
55.68,12.48,91.56
65.90,61.78,42.89
64.54,58.65,81.89
93.82,72.76,8.30
44.08,29.05,4.89
52.16,41.38,47.28
5.46,4.30,50.32
37.81,25.36,59.65
11.70,43.97,6.07
58.48,37.52,25.15
91.52,35.02,71.61
73.54,49.39,5.50
52.03,61.12,68.00
56.53,54.73,69.40
87.57,2.75,89.84
87.33,42.40,4.23
85.27,44.06,23.13
65.48,47.85,65.05
87.48,49.63,24.37
61.54,96.35,61.79
84.77,56.66,34.01
21.59,39.73,96.81
94.11,25.61,52.81
5.57,50.09,92.51
80.37,54.99,69.09
76.39,51.45,93.71
74.91,7.46,23.72
49.49,35.94,51.12
21.69,6.17,41.07
42.74,9.60,73.46
95.65,68.10,85.81
11.86,72.17,74.93
5.44,5.24,88.45
98.29,95.40,60.96
65.11,95.72,48.03
22.54,77.89,11.39
43.28,55.70,71.38
87.73,57.62,39.80
23.77,3.89,49.50
19.75,45.27,72.24
26.14,74.69,95.35
54.72,42.57,6.13
26.81,75.65,19.81
9.79,31.85,48.32
73.55,3.56,69.79
82.97,55.50,12.06
41.10,52.16,47.83
27.58,42.25,71.66
33.55,26.42,10.05
62.06,59.50,12.97
45.28,45.69,33.89
51.64,62.37,38.94
63.77,40.00,42.95
14.52,19.81,60.39
78.28,94.72,22.87
65.99,92.79,84.57
97.49,34.15,73.51
17.52,3.25,40.87
17.16,63.16,29.34
14.23,92.01,23.45
23.15,23.78,53.27
79.08,89.67,95.24
73.61,93.60,68.79
41.03,84.89,85.42
30.25,14.69,83.95
31.00,28.81,44.80
32.92,94.98,75.81
96.49,31.42,21.65
14.57,59.54,47.28
53.70,73.47,83.71
99.66,23.02,73.61
33.87,57.94,63.89
72.75,43.69,80.12
90.39,11.31,29.37
50.02,10.94,93.53
29.44,70.67,14.13
60.52,16.71,76.13
48.09,32.26,56.93
81.17,31.76,94.70
59.04,34.55,52.39
87.13,2.73,71.62
47.22,54.91,4.31
57.91,50.75,29.12
40.98,92.11,61.90
28.66,11.18,6.30
75.85,26.09,85.76
20.95,91.37,27.38
89.74,48.22,15.38
10.28,95.42,5.48
44.56,29.16,31.01
80.58,42.69,49.05
51.14,62.54,67.18
85.87,34.96,20.80
63.91,45.53,31.14
91.60,93.50,21.93
94.70,58.63,7.23
90.59,34.09,93.93
48.68,58.34,79.93
79.35,32.73,40.36
22.60,19.54,89.42
57.60,12.76,68.30
63.00,86.10,88.12
74.46,97.55,59.79
53.70,65.09,39.51
49.25,69.31,68.88
41.82,52.87,37.15
41.84,57.36,9.95
59.84,74.02,76.04
13.92,4.93,6.22
51.00,51.19,98.25
27.79,58.34,95.02
42.55,60.38,14.94
93.62,30.22,12.74
82.13,59.91,25.29
72.74,85.51,28.61
63.45,83.72,70.13
72.50,4.31,30.48
32.44,84.97,84.93
32.25,71.43,13.08
8.30,86.13,10.44
3.55,92.42,93.55
55.62,66.80,40.53
29.40,90.34,73.52
57.24,62.86,2.27
7.55,86.09,19.51
73.44,80.26,35.88
54.30,20.37,70.46
67.88,81.41,28.91
59.88,84.93,22.41
58.58,93.75,11.56
52.61,38.71,48.97
54.28,42.30,79.30
70.39,11.50,8.79
35.09,2.13,50.77
2.93,9.95,28.05
10.47,33.12,46.83
85.20,13.57,65.92
96.98,51.17,24.63
1.02,6.71,91.48
35.04,98.98,35.47
96.12,83.97,76.98
79.78,20.14,16.83
79.76,24.36,66.85
74.39,70.47,21.62
19.75,47.55,25.92
90.73,49.48,87.99
80.04,60.48,3.60
42.13,11.45,90.48
34.65,32.23,28.35
80.10,60.17,78.79
62.71,45.60,65.73
45.12,71.55,42.52
35.05,23.24,48.76
7.67,92.10,21.52
30.25,61.21,51.03
24.52,2.72,48.29
20.05,45.32,73.13
44.41,95.25,26.58
48.51,11.75,82.19
81.87,57.82,41.39
93.62,28.51,23.04
75.98,87.27,82.16
7.58,73.02,36.88
79.03,96.71,24.65
96.88,90.54,69.06
35.02,44.03,5.70
56.85,8.89,51.30
71.89,4.02,88.57
75.88,91.91,91.45
58.11,49.67,89.61
74.80,97.28,26.24
78.53,94.23,78.88
44.12,5.93,60.04
59.72,51.68,29.93
81.05,26.74,9.51
78.22,91.79,46.87
36.06,94.71,75.03
59.45,91.04,88.36
1.14,59.33,80.20
77.27,21.02,10.16
58.74,12.54,21.91
46.09,71.40,58.12
17.24,18.35,95.66
16.72,84.08,54.23
74.76,58.56,88.22
23.57,21.40,62.90
2.03,8.78,46.31
37.16,34.38,9.46
17.01,29.80,16.64
32.69,65.65,45.08
17.83,39.31,2.62
88.57,86.03,63.61
33.41,95.23,93.36
40.43,90.36,9.81
7.25,23.93,80.80
17.80,86.54,11.91
6.28,62.74,1.42
43.24,92.13,94.68
57.45,68.54,52.33
54.53,32.99,59.26
32.93,22.72,29.55
55.12,66.78,12.11
20.13,28.81,29.22
17.90,63.62,74.23
92.55,93.79,48.50
25.34,58.85,75.94
98.77,28.38,53.18
15.71,22.88,19.28
32.16,62.80,96.01
63.93,17.68,84.91
96.29,53.00,73.29
66.10,54.84,67.34
86.29,15.38,73.77
62.20,46.85,67.50
91.88,51.60,42.99
44.59,70.89,6.20
71.87,99.56,3.41
28.83,34.23,81.34
79.46,4.21,28.14
95.47,35.52,68.50
93.23,65.67,77.42
1.62,44.54,50.89
56.10,77.76,16.92
93.55,67.46,99.02
23.67,52.69,89.77
52.69,38.18,71.32
48.06,28.30,44.20
51.19,53.82,89.60
88.08,76.16,44.09
47.17,41.54,69.45
22.43,63.72,21.34
49.16,51.86,3.90
63.82,82.60,94.83
95.74,35.05,46.61
75.60,81.15,48.32
13.10,56.30,80.17
40.42,22.77,60.50
20.11,68.69,15.72
36.00,39.42,39.20
22.99,47.89,86.42
47.86,62.38,24.15
23.23,16.95,8.19
11.34,34.60,35.18
40.25,95.92,79.56
68.23,40.97,45.37
74.75,92.43,16.80
46.24,56.25,8.62
4.74,19.49,49.11
45.62,53.49,35.19
7.13,29.88,31.92
12.46,79.40,77.71
63.57,7.83,21.25
19.81,69.81,95.13
31.17,92.77,36.01
32.55,1.46,43.63
7.79,34.23,16.70
64.08,81.51,64.25
42.43,53.83,32.08
9.84,24.88,39.31
78.25,39.18,4.07
87.91,8.00,97.69
58.45,84.71,6.62
44.89,68.69,60.38
80.63,54.21,5.29
78.95,8.34,36.87
36.45,62.10,56.16
76.19,79.70,84.04
21.55,82.80,88.01
25.61,2.48,63.40
20.96,65.57,56.74
61.37,26.32,16.15
76.80,85.48,13.39
36.02,24.75,44.25
73.02,56.53,88.07
27.08,80.01,37.00
33.12,40.52,82.90
3.04,19.91,72.90
72.27,93.71,12.55
84.78,4.32,14.01
91.07,56.24,27.43
2.81,35.13,90.64
82.62,98.74,44.56
75.17,95.80,27.69
37.86,5.34,20.95
30.98,54.24,53.38
56.79,35.70,65.36
33.74,99.85,45.07
